loss,delay,fast_recovery,md5_hash,ttc
1,100,0,37cfe51f125b935e8305b88e5ab6275a,6.699055433273315
1,100,0,37cfe51f125b935e8305b88e5ab6275a,6.158264875411987
1,100,0,37cfe51f125b935e8305b88e5ab6275a,6.807478427886963
1,100,0,37cfe51f125b935e8305b88e5ab6275a,7.575018882751465
1,100,1,37cfe51f125b935e8305b88e5ab6275a,6.596104145050049
1,100,1,37cfe51f125b935e8305b88e5ab6275a,5.7947423458099365
1,100,1,37cfe51f125b935e8305b88e5ab6275a,7.0337629318237305
1,100,1,37cfe51f125b935e8305b88e5ab6275a,6.6130969524383545
1,100,1,37cfe51f125b935e8305b88e5ab6275a,5.859062671661377
1,120,0,37cfe51f125b935e8305b88e5ab6275a,8.031760931015015
1,120,0,37cfe51f125b935e8305b88e5ab6275a,7.0865159034729
1,120,0,37cfe51f125b935e8305b88e5ab6275a,10.49922776222229
1,120,0,37cfe51f125b935e8305b88e5ab6275a,8.300690650939941
1,120,0,37cfe51f125b935e8305b88e5ab6275a,8.528944969177246
1,120,1,37cfe51f125b935e8305b88e5ab6275a,7.566378355026245
1,120,1,37cfe51f125b935e8305b88e5ab6275a,7.791588068008423
1,120,1,37cfe51f125b935e8305b88e5ab6275a,7.83845853805542
1,120,1,37cfe51f125b935e8305b88e5ab6275a,6.197727680206299
1,120,1,37cfe51f125b935e8305b88e5ab6275a,7.829923629760742
1,140,0,37cfe51f125b935e8305b88e5ab6275a,6.184923887252808
1,140,0,37cfe51f125b935e8305b88e5ab6275a,10.174699544906616
1,140,0,37cfe51f125b935e8305b88e5ab6275a,7.656038522720337
1,140,0,37cfe51f125b935e8305b88e5ab6275a,8.744114398956299
1,140,0,37cfe51f125b935e8305b88e5ab6275a,8.200685024261475
1,140,1,37cfe51f125b935e8305b88e5ab6275a,7.04917573928833
1,140,1,37cfe51f125b935e8305b88e5ab6275a,9.856901407241821
1,140,1,37cfe51f125b935e8305b88e5ab6275a,6.733498811721802
1,140,1,37cfe51f125b935e8305b88e5ab6275a,8.441232681274414
1,140,1,37cfe51f125b935e8305b88e5ab6275a,7.067015886306763
1,160,0,37cfe51f125b935e8305b88e5ab6275a,9.927436351776123
1,160,0,37cfe51f125b935e8305b88e5ab6275a,11.04994535446167
1,160,0,37cfe51f125b935e8305b88e5ab6275a,10.795998811721802
1,160,0,37cfe51f125b935e8305b88e5ab6275a,7.626486539840698
1,160,0,37cfe51f125b935e8305b88e5ab6275a,7.973958253860474
1,160,1,37cfe51f125b935e8305b88e5ab6275a,8.27798056602478
1,160,1,37cfe51f125b935e8305b88e5ab6275a,6.711945295333862
1,160,1,37cfe51f125b935e8305b88e5ab6275a,7.89892840385437
1,160,1,37cfe51f125b935e8305b88e5ab6275a,9.249001741409302
1,160,1,37cfe51f125b935e8305b88e5ab6275a,9.571998357772827
1,180,0,37cfe51f125b935e8305b88e5ab6275a,9.252400159835815
1,180,0,37cfe51f125b935e8305b88e5ab6275a,9.61067509651184
1,180,0,37cfe51f125b935e8305b88e5ab6275a,9.630051851272583
1,180,0,37cfe51f125b935e8305b88e5ab6275a,9.257838010787964
1,180,0,37cfe51f125b935e8305b88e5ab6275a,10.73624873161316
1,180,1,37cfe51f125b935e8305b88e5ab6275a,9.575626611709595
1,180,1,37cfe51f125b935e8305b88e5ab6275a,9.246702909469604
1,180,1,37cfe51f125b935e8305b88e5ab6275a,12.427225828170776
1,180,1,37cfe51f125b935e8305b88e5ab6275a,10.333287000656128
1,180,1,37cfe51f125b935e8305b88e5ab6275a,11.543108463287354
1,200,0,37cfe51f125b935e8305b88e5ab6275a,11.447566747665405
1,200,0,37cfe51f125b935e8305b88e5ab6275a,10.986546993255615
1,200,0,37cfe51f125b935e8305b88e5ab6275a,10.891546964645386
1,200,0,37cfe51f125b935e8305b88e5ab6275a,9.683430910110474
1,200,0,37cfe51f125b935e8305b88e5ab6275a,12.133796691894531
1,200,1,37cfe51f125b935e8305b88e5ab6275a,9.89403486251831
